City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,Kruisfontein,ZA,2021-09-09 18:28:50,-34.0033,24.7314,64.89,73,83,14.56
219,Shush,IR,2021-09-09 18:28:50,32.1942,48.2436,95.86,13,0,15.46
220,Madimba,TZ,2021-09-09 18:28:50,-10.4,40.3333,72.95,84,8,6.91
221,Skowhegan,US,2021-09-09 18:28:50,44.7651,-69.7192,70.36,99,100,5.21
222,Pathardi,IN,2021-09-09 18:28:51,19.1667,75.1833,73.96,85,100,13.73
223,Uthal,PK,2021-09-09 18:28:51,25.8072,66.6219,82.76,66,100,21.99
224,Shubarshi,KZ,2021-09-09 18:28:51,48.5872,57.1869,56.14,30,3,10.13
225,Karakol,KG,2021-09-09 18:28:51,42.4907,78.3936,57.49,49,2,1.99
226,Sakakah,SA,2021-09-09 18:28:52,29.9697,40.2064,90.97,13,0,10.58
227,Iskateley,RU,2021-09-09 18:28:52,67.6803,53.1512,38.37,95,78,9.46
228,Oak Ridge,US,2021-09-09 18:28:52,36.0104,-84.2696,82.35,39,20,6.91
229,Yar-Sale,RU,2021-09-09 18:28:53,66.8333,70.8333,40.8,67,89,9.73
230,Vuktyl,RU,2021-09-09 18:28:53,63.8567,57.3094,44.87,98,100,3.56
231,Riyadh,SA,2021-09-09 18:26:39,24.6877,46.7219,93.34,13,99,8.9
232,Storsteinnes,NO,2021-09-09 18:28:53,69.2408,19.2344,45.79,93,100,4.38
233,Maharajganj,IN,2021-09-09 18:28:53,27.1333,83.5667,78.89,88,99,7.52
234,Mitsamiouli,KM,2021-09-09 18:28:54,-11.3847,43.2844,73.69,78,20,3.44
235,Moussoro,TD,2021-09-09 18:28:54,13.6408,16.4901,90.79,45,29,2.42
236,Holoby,UA,2021-09-09 18:28:54,51.0865,25.0077,62.06,61,8,5.5
237,Belyy Yar,RU,2021-09-09 18:28:54,53.6039,91.3903,44.49,76,0,4.47
238,Annau,TM,2021-09-09 18:28:55,37.8876,58.516,76.5,31,0,4.61
239,Cristesti,RO,2021-09-09 18:28:55,46.5,24.4833,59.29,76,93,1.14
240,Mogwase,ZA,2021-09-09 18:28:55,-25.185,27.2665,69.6,31,0,5.66
241,Mayumba,GA,2021-09-09 18:28:56,-3.432,10.6554,76.15,86,38,10.02
242,Bardiyah,LY,2021-09-09 18:28:56,31.7561,25.0865,77.32,66,3,15.21
243,Verkhnyaya Inta,RU,2021-09-09 18:28:56,65.9811,60.3094,44.4,87,100,8.81
244,Saint Anthony,US,2021-09-09 18:28:56,45.0205,-93.218,75.15,55,75,1.99
245,Kadoma,JP,2021-09-09 18:28:57,34.7333,135.5833,73.38,77,36,4.21
246,Oranjemund,NA,2021-09-09 18:28:57,-28.55,16.4333,60.6,69,29,9.55
247,Pangody,RU,2021-09-09 18:28:57,65.85,74.4859,39.83,68,23,1.39
248,Vila Franca Do Campo,PT,2021-09-09 18:28:58,37.7167,-25.4333,75.61,71,51,8.81
249,Soloneshnoye,RU,2021-09-09 18:28:58,51.6544,84.3197,43.16,63,51,6.71
250,Yellandu,IN,2021-09-09 18:28:58,17.6,80.3333,75.51,93,100,3.8
251,Piacabucu,BR,2021-09-09 18:28:58,-10.4056,-36.4344,79.7,69,40,9.26
