City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Luau,AO,-10.7073,22.2247,78.17,21,5,3.89,clear sky
176,Tarko-Sale,RU,64.9225,77.785,41.7,64,23,6.96,few clouds
177,Zverinogolovskoye,RU,54.4586,64.8542,55.78,49,100,14.63,overcast clouds
178,Vila Velha,BR,-20.3297,-40.2925,79.56,69,7,22.03,clear sky
179,Tupancireta,BR,-29.0806,-53.8358,55.17,81,100,15.28,overcast clouds
180,Carutapera,BR,-1.195,-46.02,84.02,64,47,10.13,scattered clouds
181,Castro,BR,-24.7911,-50.0119,69.67,70,100,10.09,overcast clouds
182,Mahwa,IN,27.0471,76.9288,82.04,75,100,7.61,overcast clouds
183,Muros,ES,42.7762,-9.0603,68.23,89,80,4.27,broken clouds
184,Port-Gentil,GA,-0.7193,8.7815,77.43,84,40,15.61,scattered clouds
185,Dutlwe,BW,-23.9833,23.9,68.88,42,0,12.12,clear sky
186,Saint-Leu,RE,-21.15,55.2833,70.63,74,6,2.73,clear sky
187,Kavaratti,IN,10.5669,72.642,81.77,79,10,11.25,clear sky
188,Kautokeino,NO,69.0125,23.0412,36.91,90,36,4.94,scattered clouds
189,Pitimbu,BR,-7.4706,-34.8086,81.19,71,6,13.02,clear sky
190,Strezhevoy,RU,60.7333,77.5889,39.18,63,100,7.65,overcast clouds
191,Matagami,CA,49.7502,-77.6328,50.22,95,100,8.79,overcast clouds
192,Ambilobe,MG,-13.2,49.05,69.3,80,12,3.06,few clouds
193,West Bay,KY,19.3667,-81.4167,87.08,80,89,4.0,overcast clouds
194,Los Llanitos,HN,13.2869,-87.3344,90.05,71,47,5.46,scattered clouds
195,Sabha,LY,27.0377,14.4283,88.2,22,0,10.36,clear sky
196,Amurrio,ES,43.05,-3.0,71.35,89,100,3.31,light rain
197,Honningsvag,NO,70.9821,25.9704,44.35,81,75,10.36,broken clouds
198,Adrar,MR,20.5022,-10.0711,102.67,9,4,9.01,clear sky
199,Tabou,CI,4.423,-7.3528,77.32,88,33,10.22,light rain
200,Dangriga,BZ,16.9692,-88.2321,86.99,71,11,10.2,few clouds
201,Kifri,IQ,34.6959,44.9661,90.37,16,0,9.33,clear sky
202,Carbonia,IT,39.1672,8.5222,77.65,84,100,6.24,overcast clouds
203,Pizarro,CO,4.9533,-77.366,80.85,82,100,8.41,light rain
204,Rosario,AR,-32.9468,-60.6393,60.71,67,90,8.01,overcast clouds
205,Espinosa,BR,-14.9261,-42.8192,93.99,16,4,11.14,clear sky
206,Ostersund,SE,63.1792,14.6357,50.45,100,75,3.44,drizzle
207,Mizdah,LY,31.4451,12.9801,83.16,29,0,1.9,clear sky
208,Nsanje,MW,-16.92,35.262,75.43,57,0,9.66,clear sky
209,Victoria,HK,22.2855,114.1577,85.32,82,100,1.99,overcast clouds
210,San Rafael,AR,-34.6177,-68.3301,62.56,30,30,6.55,scattered clouds
211,Orumiyeh,IR,37.5527,45.0761,65.57,58,0,6.02,clear sky
212,Fethiye,TR,36.6217,29.1164,73.27,79,0,3.2,clear sky
213,El Chichicaste,HN,14.0667,-86.3,83.95,70,100,3.89,overcast clouds
214,Belchertown,US,42.277,-72.4009,72.0,79,90,0.0,light rain
215,Altay,CN,47.8667,88.1167,52.88,69,27,2.13,scattered clouds
216,Saint-Pierre,RE,-21.3393,55.4781,71.24,67,20,4.61,few clouds
217,Mocajuba,BR,-2.5842,-49.5072,90.45,50,100,5.5,overcast clouds
218,Rocha,UY,-34.4833,-54.3333,53.82,92,100,3.53,overcast clouds
219,San Cristobal,VE,7.7669,-72.225,82.58,52,99,6.98,overcast clouds
220,San Isidro,PE,-12.1167,-77.05,66.25,77,75,1.01,broken clouds
